Alter in 5-Jahresgruppen <20>,Jahr,Politischer Bezirk / Wiener Gemeindebezirk - Herkunftsort,Politischer Bezirk / Wiener Gemeindebezirk - Zielort,Anzahl,Anmerkungen
bis 4 Jahre,2025,"Wien 9.Bezirk, Alsergrund <909>","Wien 16.Bezirk, Ottakring <916>",9
bis 4 Jahre,2025,"Wien 9.Bezirk, Alsergrund <909>","Wien 17.Bezirk, Hernals <917>",9
bis 4 Jahre,2025,"Wien 9.Bezirk, Alsergrund <909>","Wien 18.Bezirk, Währing <918>",6
bis 4 Jahre,2025,"Wien 9.Bezirk, Alsergrund <909>","Wien 19.Bezirk, Döbling <919>",23
bis 4 Jahre,2025,"Wien 9.Bezirk, Alsergrund <909>","Wien 20.Bezirk, Brigittenau <920>",16
bis 4 Jahre,2025,"Wien 9.Bezirk, Alsergrund <909>","Wien 21.Bezirk, Floridsdorf <921>",15
bis 4 Jahre,2025,"Wien 9.Bezirk, Alsergrund <909>","Wien 22.Bezirk, Donaustadt <922>",17
bis 4 Jahre,2025,"Wien 9.Bezirk, Alsergrund <909>","Wien 23.Bezirk, Liesing <923>",9
bis 4 Jahre,2025,"Wien 10.Bezirk, Favoriten <910>","Wien 1.Bezirk, Innere Stadt <901>",-
bis 4 Jahre,2025,"Wien 10.Bezirk, Favoriten <910>","Wien 2.Bezirk, Leopoldstadt <902>",24
bis 4 Jahre,2025,"Wien 10.Bezirk, Favoriten <910>","Wien 3.Bezirk, Landstraße <903>",72
bis 4 Jahre,2025,"Wien 10.Bezirk, Favoriten <910>","Wien 4.Bezirk, Wieden <904>",20
bis 4 Jahre,2025,"Wien 10.Bezirk, Favoriten <910>","Wien 5.Bezirk, Margareten <905>",21
bis 4 Jahre,2025,"Wien 10.Bezirk, Favoriten <910>","Wien 6.Bezirk, Mariahilf <906>",13
bis 4 Jahre,2025,"Wien 10.Bezirk, Favoriten <910>","Wien 7.Bezirk, Neubau <907>",5
bis 4 Jahre,2025,"Wien 10.Bezirk, Favoriten <910>","Wien 8.Bezirk, Josefstadt <908>",3
bis 4 Jahre,2025,"Wien 10.Bezirk, Favoriten <910>","Wien 9.Bezirk, Alsergrund <909>",11
bis 4 Jahre,2025,"Wien 10.Bezirk, Favoriten <910>","Wien 10.Bezirk, Favoriten <910>",773
bis 4 Jahre,2025,"Wien 10.Bezirk, Favoriten <910>","Wien 11.Bezirk, Simmering <911>",112
bis 4 Jahre,2025,"Wien 10.Bezirk, Favoriten <910>","Wien 12.Bezirk, Meidling <912>",42
bis 4 Jahre,2025,"Wien 10.Bezirk, Favoriten <910>","Wien 13.Bezirk, Hietzing <913>",13
bis 4 Jahre,2025,"Wien 10.Bezirk, Favoriten <910>","Wien 14.Bezirk, Penzing <914>",26
bis 4 Jahre,2025,"Wien 10.Bezirk, Favoriten <910>","Wien 15.Bezirk, Rudolfsheim-Fünfhaus <915>",17
bis 4 Jahre,2025,"Wien 10.Bezirk, Favoriten <910>","Wien 16.Bezirk, Ottakring <916>",14
bis 4 Jahre,2025,"Wien 10.Bezirk, Favoriten <910>","Wien 17.Bezirk, Hernals <917>",8
bis 4 Jahre,2025,"Wien 10.Bezirk, Favoriten <910>","Wien 18.Bezirk, Währing <918>",6
bis 4 Jahre,2025,"Wien 10.Bezirk, Favoriten <910>","Wien 19.Bezirk, Döbling <919>",9
bis 4 Jahre,2025,"Wien 10.Bezirk, Favoriten <910>","Wien 20.Bezirk, Brigittenau <920>",30
bis 4 Jahre,2025,"Wien 10.Bezirk, Favoriten <910>","Wien 21.Bezirk, Floridsdorf <921>",88
